# {"t_start": 1574929805.8144362, "env_id": "Walker2d-v2"} 
r,l,t
-4.318555,7,147.644472
201.091817,155,147.869021
191.386394,152,150.03282
241.576997,201,150.319822
1.546102,16,150.342694
-4.604747,7,150.352627
-7.927521,6,150.361265
-7.395936,6,150.369781
-5.423888,7,150.379709
221.661237,178,150.634433
197.253113,173,150.881823
261.354686,239,151.223927
-7.240913,7,151.233802
-7.652981,7,151.243778
226.417298,185,151.508722
-0.477996,10,151.523077
112.340022,202,151.811771
-4.514732,9,151.824544
-6.296226,8,151.835836
300.04979,287,152.248107
254.780345,230,152.579953
-6.232746,6,152.588716
-8.330963,6,152.597548
198.79204,152,152.818795
0.370776,17,152.84395
220.238935,188,155.068812
213.060591,174,155.314827
224.865505,182,155.598063
224.838431,180,155.811708
115.463988,195,156.043108
243.50893,220,156.304422
-6.398533,7,156.312734
-6.68379,6,156.319875
-1.460874,16,156.338793
-7.381457,7,156.346961
215.824172,179,156.559484
204.845384,160,156.7492
-7.225531,7,156.757535
-8.665702,7,156.765862
190.723905,142,156.934059
-3.871743,8,156.943483
-6.670407,6,156.95058
