# {"t_start": 1574930185.7478445, "env_id": "Walker2d-v2"} 
r,l,t
516.674114,344,178.501186
355.027336,187,178.781383
430.197978,235,179.157317
424.2104,224,179.488711
420.961505,206,181.622649
516.702342,284,182.025579
451.147662,245,182.373499
517.788665,305,182.807255
113.997064,175,183.056369
471.588139,246,183.408773
550.255907,310,183.869227
437.95792,334,184.363187
332.210981,187,186.476753
412.3327,237,186.812818
496.315071,347,187.306255
361.899028,194,187.581504
288.646937,145,187.786664
356.995592,207,188.080743
363.500219,204,188.379877
441.526393,287,188.803169
326.279142,188,189.079756
373.468345,204,191.213276
314.58334,153,191.429294
449.073124,211,191.728514
464.873997,265,192.105608
413.079784,200,192.388996
358.984457,207,192.683734
520.713899,357,193.200959
390.03236,202,193.498246
339.998853,202,193.796339
132.404892,232,195.971104
412.484501,223,196.286589
388.480061,190,196.554378
295.572121,164,196.786072
353.874535,213,197.088249
340.644569,151,197.300807
397.155305,195,197.576743
511.569124,344,198.073946
332.336493,203,198.370758
329.362235,203,198.66591
460.115654,258,200.87701
588.413797,320,201.331163
388.304754,191,201.601197
368.81432,185,201.862912
418.443484,229,202.187876
357.584042,207,202.481476
426.221967,219,202.80033
401.721573,242,203.155396
367.204785,183,203.424244
297.336901,166,205.478868
338.807294,163,205.714566
343.045672,159,205.940336
417.681524,234,206.27255
404.086708,206,206.565177
327.934923,204,206.854183
516.435429,318,207.306377
641.77623,341,207.806427
397.955182,203,208.104901
796.309296,547,210.84679
342.793142,150,211.05881
375.983017,227,211.380732
490.351888,294,211.797688
426.216216,226,212.119016
414.805403,208,212.416947
375.949679,220,212.741259
373.361205,167,212.986983
483.057821,257,215.210011
478.66658,273,215.597268
422.414596,214,215.905348
364.51923,203,216.195368
341.89143,171,216.437824
432.187156,219,216.748673
383.307209,227,217.070317
345.595638,167,217.314621
552.297674,385,217.885653
405.054746,213,220.034786
452.694852,292,220.449507
407.148477,222,220.764131
391.815206,202,221.050047
602.421249,411,221.633661
281.575162,140,221.831867
351.888352,188,222.105616
500.214855,272,222.508053
406.713894,192,222.791095
369.174111,185,224.993885
459.590977,224,225.311454
495.469389,307,225.74722
453.905643,274,226.139329
293.045583,129,226.32389
360.929959,186,226.588057
347.810526,166,226.823314
507.993558,251,227.200207
298.138522,144,227.439856
466.7532,200,227.772767
469.389438,237,229.972528
361.820399,202,230.259843
418.864109,227,230.583195
364.386641,196,230.861913
412.894912,209,231.159488
377.928559,197,231.440529
450.13035,259,231.810874
265.714037,120,231.988549
426.437894,206,232.292067
422.865867,242,234.523206
367.831467,188,234.789937
422.860341,207,235.083844
354.927571,153,235.300556
145.942291,217,235.609391
400.559956,232,235.93934
380.836308,171,236.181566
372.832868,180,236.440363
453.48149,222,236.76257
331.93277,160,236.998963
248.599269,132,237.193666
536.221376,304,239.491325
315.849422,172,239.735444
470.207845,276,240.128597
383.744645,221,240.443041
445.14101,233,240.773029
479.804494,249,241.126347
359.866944,177,241.377628
432.582307,199,241.669231
317.074782,159,241.904018
454.543826,219,242.227173
519.75149,285,244.502073
326.226021,152,244.717993
414.850081,200,245.002211
434.291264,194,245.27706
317.046732,170,245.518674
393.163399,184,245.779122
431.75167,223,246.095887
346.080545,166,246.33281
356.066609,164,246.573834
383.587167,180,246.846673
361.941375,173,249.00315
462.817227,216,249.310197
409.012262,187,249.575562
325.17221,161,249.804247
502.010339,240,250.146575
416.648518,212,250.448499
393.267823,175,250.697501
809.672228,550,251.492278
175.725427,246,251.854913
409.560275,203,254.207073
358.81047,177,254.458161
421.182632,201,254.743438
464.485847,234,255.075528
390.115858,203,255.363961
406.81701,185,255.626841
484.645449,231,255.955425
356.272523,167,256.192486
325.492017,162,256.430425
276.328355,140,256.646429
328.65359,135,256.844453
379.554084,179,258.983786
307.991529,164,259.216336
465.240696,227,259.538902
388.880612,204,259.829094
102.407043,183,260.089451
429.559715,203,260.37763
329.25968,148,260.587093
404.77555,204,260.876827
484.536687,257,261.248378
444.200606,229,261.584556
393.757804,192,264.193634
515.106094,315,264.845646
338.304381,168,265.085937
420.460045,203,265.375371
228.144478,109,265.529912
415.204238,194,265.806269
246.535145,147,266.015299
342.698543,160,266.242033
330.442879,171,266.485548
311.067425,165,266.728377
311.227852,136,266.927429
240.386046,125,267.110381
412.171274,190,269.25195
318.510277,148,269.461588
463.317047,200,269.74557
292.556288,146,269.953169
350.547741,172,270.198512
280.114226,134,270.388594
368.75243,172,270.633033
418.471894,193,270.907407
400.342262,204,271.198257
346.754347,147,271.408615
557.519563,309,271.863736
319.524195,150,273.93833
286.168581,138,274.134762
354.297605,180,274.390688
414.289311,202,274.678119
425.522322,194,274.95399
325.356689,145,275.160442
413.638211,197,275.43954
412.676355,209,275.734741
346.195707,169,275.97345
425.231489,209,276.273139
408.149001,224,276.601628
492.626863,235,278.798594
399.240469,193,279.070862
396.751351,188,279.336355
412.225012,190,279.604874
425.209794,224,279.922428
347.606489,165,280.156494
341.173807,153,280.372038
385.276626,173,280.616717
419.747422,192,280.888967
467.902404,238,281.233077
382.11567,193,281.514457
364.242252,184,283.619096
426.047374,201,283.903638
392.116736,169,284.142491
409.469662,190,284.410705
450.42468,198,284.691351
378.069696,177,284.941872
392.468869,190,285.210607
402.50572,179,285.464436
377.829937,164,285.696252
492.468747,234,286.032605
306.729746,141,286.236925
435.658187,211,288.492752
448.041258,204,288.781667
443.67474,224,289.099673
394.578995,179,289.353326
423.606722,178,289.60556
311.0295,142,289.806109
406.294334,175,290.053327
349.140394,163,290.284836
374.509949,166,290.520047
441.085394,205,290.811519
387.943582,191,291.09248
507.777169,212,293.252285
420.068375,189,293.519654
380.677185,173,293.764435
376.208286,166,293.999251
431.220692,228,294.322023
405.315847,192,294.5939
468.155981,208,294.888866
336.903017,153,295.105756
333.011397,158,295.328939
373.90255,168,295.567385
351.284454,160,295.797691
375.797787,175,297.975912
608.272448,241,298.317948
362.022605,170,298.559559
373.991203,184,298.820258
238.775253,117,298.985538
404.606888,176,299.234456
404.529455,205,299.524678
336.502094,175,299.773064
402.776919,185,300.034556
360.31866,156,300.255738
339.249679,161,300.485122
288.894559,140,300.688307
445.665816,207,302.860827
406.143585,187,303.125576
326.820835,146,303.332251
376.939004,163,303.563014
436.237885,204,303.85291
301.741078,145,304.058154
437.717397,230,304.384402
413.327491,190,304.653693
436.334792,205,304.944741
378.857119,175,305.19353
362.355651,149,305.409843
387.28051,195,307.583295
356.990599,168,307.820471
321.084344,145,308.025308
423.84567,193,308.299306
422.68513,196,308.579386
382.658176,167,308.818358
387.001627,179,309.071821
380.795698,161,309.300373
381.103034,168,309.538337
376.614213,173,309.783319
409.240543,200,310.067827
267.570236,136,310.264158
456.15281,194,312.46947
410.21775,183,312.728561
323.456034,169,312.968203
372.695363,177,313.219529
294.178506,128,313.400556
364.800359,179,313.654829
354.233376,150,313.867391
341.8351,153,314.084675
449.841511,189,314.352514
407.910337,213,314.655152
453.581126,205,314.94617
457.982832,186,315.218317
421.869959,194,317.388162
342.662796,152,317.602698
369.349241,187,317.867934
376.676676,202,318.153756
394.683535,164,318.38554
410.862028,176,318.634906
369.581117,166,318.87141
439.222324,166,319.108852
348.130014,144,319.312584
463.877415,208,319.60748
392.071925,182,319.867488
354.213248,152,321.983534
388.977915,168,322.221451
438.140991,217,322.529934
107.370136,70,322.628946
342.555305,161,322.857453
290.24408,124,323.032706
573.480157,219,323.343122
422.436697,192,323.61563
394.056866,172,323.85969
412.192069,160,324.08663
400.30354,185,324.349602
378.9616,174,324.596446
418.41456,188,326.763451
394.419806,188,327.028332
409.929565,169,327.266946
267.082851,133,327.454053
332.28249,150,327.665748
459.504755,200,327.948523
461.338026,199,328.229913
404.733599,168,328.467705
343.50929,143,328.669373
249.029747,119,328.838376
373.522619,165,329.072551
399.289662,166,329.311369
309.41482,137,329.507431
399.143282,164,331.673442
466.620049,196,331.950834
455.265324,205,332.241473
383.924744,180,332.496354
413.659542,175,332.745176
272.618842,137,332.939647
450.723706,195,333.217127
414.261744,179,333.471788
437.076407,199,333.755826
365.190555,180,334.012634
399.415072,176,334.262678
352.577325,158,336.604401
445.984622,204,336.892375
511.712985,247,337.241502
379.781905,175,337.489074
457.146447,187,337.753604
458.685472,207,338.046743
347.578269,162,338.275355
413.279076,243,338.620304
475.411169,246,338.969135
444.942009,194,339.243629
415.583675,189,341.439232
291.614857,130,341.622587
531.035312,195,341.899311
366.063789,162,342.129255
405.486565,187,342.395327
397.683955,189,342.663952
342.919317,146,342.870894
372.029478,164,343.104244
383.341506,167,343.342045
369.895291,164,343.575183
435.286436,195,343.852762
514.919399,236,344.188594
453.450817,182,346.632622
454.439503,180,346.886895
271.712693,126,347.065293
479.725581,232,347.3942
412.999015,162,347.622425
488.16441,210,347.920144
540.038817,306,348.354112
389.341726,181,348.610421
429.490413,194,348.885699
482.705641,194,349.160666
376.636155,164,349.395129
463.601941,210,351.571594
418.999863,171,351.8138
528.427796,228,352.136655
366.87739,168,352.374824
372.957503,162,352.603953
409.433794,180,352.85932
450.464307,185,353.121226
407.677533,180,353.376787
484.465788,202,353.662734
417.827531,171,353.905447
390.349042,158,354.129537
400.754784,163,356.22993
568.570579,225,356.547949
450.958872,207,356.840755
398.562865,184,357.101579
414.403221,169,357.340796
320.189149,126,357.518611
467.542921,207,357.812927
277.326481,119,357.980966
350.160557,155,358.200613
464.649378,195,358.477155
389.457866,159,358.702768
400.176728,178,358.956912
407.71078,184,361.104386
332.0569,171,361.347824
428.244672,173,361.592602
453.766379,195,361.868181
486.320411,203,362.156553
443.483918,189,362.424515
481.168913,210,362.722336
356.586567,143,362.924831
431.802742,191,363.196205
400.222325,161,363.424176
451.244807,218,363.73567
386.973458,160,365.877478
346.792461,168,366.115479
299.6553,140,366.313357
458.935551,197,366.592313
421.315649,184,366.853247
447.187955,187,367.118318
422.603026,202,367.40539
429.549885,191,367.676371
428.644325,194,367.95132
313.607805,138,368.146578
442.486599,191,368.418037
520.742856,317,370.806059
420.914113,190,371.075366
355.769032,159,371.300238
430.30888,188,371.566134
375.137463,166,371.802057
526.142951,209,372.099081
528.123767,213,372.401041
406.840262,202,372.688255
604.382582,247,373.03972
442.47561,183,373.299424
412.971934,162,375.446399
381.049297,186,375.709248
512.184543,231,376.035497
465.107142,193,376.308254
438.559151,203,376.596208
411.142156,184,376.857336
448.185848,199,377.13998
414.162668,187,377.405204
492.860104,215,377.710758
326.389737,158,377.935662
453.402711,216,378.243886
402.810716,195,380.51324
470.125613,208,380.81102
470.119022,197,381.092344
499.262194,233,381.423627
347.077676,151,381.637438
485.500569,222,381.953276
487.184009,224,382.271578
429.60375,179,382.526252
434.779787,172,382.770774
343.01724,147,382.979369
470.184657,222,385.189433
523.138032,227,385.511098
454.121158,191,385.782508
378.682954,174,386.029351
414.082506,184,386.290446
453.639278,190,386.559875
533.709957,218,386.868866
481.417658,234,387.202067
412.474945,184,387.463882
760.297843,326,387.927637
402.061945,189,390.118965
401.29893,175,390.366303
508.212615,229,390.690252
450.579841,191,390.960948
430.068729,185,391.226676
477.17743,207,391.519588
374.441231,167,391.755579
403.510158,186,392.019432
441.425346,190,392.289742
267.844889,132,392.477446
455.667714,194,392.752102
444.610394,180,394.92539
392.2553,173,395.170219
480.520724,208,395.464951
478.597313,195,395.741532
507.601107,226,396.061665
445.999183,194,396.33655
457.936285,198,396.61798
425.185712,188,396.884477
629.957765,241,397.226125
472.103549,190,397.495885
437.876306,200,399.675231
446.279462,187,399.94014
460.469035,207,400.23353
302.164998,138,400.428708
430.937884,217,400.737651
375.618023,158,400.961789
534.31929,202,401.248133
430.580968,168,401.490625
433.660216,189,401.759208
407.495836,174,402.005948
472.070474,213,402.309138
442.004458,185,404.574528
328.128682,146,404.780848
354.249203,162,405.010452
423.699622,189,405.278922
480.342344,197,405.558627
434.042486,207,405.852522
640.302202,234,406.184544
360.559688,157,406.407278
492.558715,222,406.722131
453.647455,191,406.993541
602.568834,257,409.500491
456.044088,225,409.819385
462.070005,186,410.083063
390.06076,164,410.316193
631.839865,220,410.626583
573.802716,227,410.948329
410.246,184,411.209853
434.879701,201,411.49589
479.842323,208,411.795556
479.805513,197,412.075604
459.516715,207,412.36967
415.543862,169,414.55497
456.544143,195,414.829674
555.228904,307,415.264978
412.83319,177,415.515158
366.858416,163,415.745931
384.505172,175,415.994432
526.902227,225,416.313787
392.288811,180,416.568867
436.22721,177,416.819955
436.823266,207,417.113564
426.742209,181,419.638848
468.117205,208,419.933765
458.591602,190,420.203783
491.88856,232,420.532984
479.654866,211,420.833508
459.638843,216,421.141182
458.26406,201,421.427669
444.153601,201,421.71408
452.020117,212,422.018758
