# {"t_start": 1574930205.0712144, "env_id": "Walker2d-v2"} 
r,l,t
16.151679,31,32.256066
0.027915,20,32.285872
6.952097,19,32.313987
4.868179,16,32.337506
10.626938,22,32.370256
-2.961042,15,32.392312
3.419978,35,32.443615
1.273066,21,32.474566
-2.470819,8,32.486538
22.277307,43,32.549831
5.123727,18,32.575321
6.361034,27,32.61364
2.607476,25,32.6494
16.035327,31,32.693424
2.97353,36,32.744376
-1.500432,26,32.781289
-7.426028,71,32.881669
7.516124,33,32.928627
6.39776,34,32.976843
-1.298966,12,32.9937
17.119244,31,33.037494
-5.217627,10,33.051912
9.648393,23,33.084726
26.368312,38,33.138325
5.884892,24,33.172277
-3.779127,27,33.210666
0.416393,24,33.244749
3.852275,31,33.288869
-9.101303,73,33.392463
1.624076,58,33.475045
-0.722446,24,33.509053
-3.811885,17,33.533374
-0.810688,32,35.410781
3.592042,17,35.434882
11.43424,44,35.497106
3.666235,24,35.531635
-0.588937,11,35.548169
3.059646,25,35.58548
5.753777,25,35.622785
0.352824,13,35.642309
1.868395,14,35.663376
27.271307,60,35.753039
-0.197904,23,35.787487
18.603182,34,35.83811
7.181062,27,35.877976
-0.02728,25,35.914925
-0.032022,30,35.959259
6.18005,37,36.014072
-2.697285,21,36.044945
-0.9671,23,36.079123
-3.630501,16,36.103063
23.418085,44,36.168142
17.371986,25,36.204722
-0.320775,16,36.22855
1.967555,13,36.247748
3.230848,23,36.281345
5.812772,33,36.330213
7.662167,30,36.374328
14.093807,31,36.420401
-4.585902,7,36.430817
9.641947,23,36.464699
11.60807,31,36.510587
7.05463,24,36.546204
1.770887,18,36.572674
-3.811649,70,36.676357
0.48167,29,36.719143
5.146104,41,36.779964
2.543453,19,36.808307
36.442672,58,36.894235
1.012057,25,36.931167
5.652457,17,36.956382
6.201706,22,36.988838
-1.26697,39,37.046499
9.545698,29,37.089629
-1.420709,36,37.142699
3.366074,27,37.182676
13.324603,62,37.273896
4.784677,24,37.309341
10.575995,38,37.364053
-2.920181,11,37.379761
16.440507,33,37.426676
-0.772435,24,37.460381
6.676754,24,37.49421
2.261028,26,37.531012
-0.566452,31,37.575091
26.708453,41,37.633189
2.388116,13,37.651731
-1.747839,9,37.664461
8.83764,21,37.694279
-4.444571,21,37.724117
-0.014185,50,37.795513
7.224811,35,37.845213
2.728254,21,37.875154
-3.424387,17,37.899346
2.334772,13,37.917902
-7.650266,17,37.942048
3.29981,13,37.960643
4.730825,22,37.992025
11.447971,34,38.040092
-2.211878,28,38.079934
-1.841648,11,38.09569
4.072686,13,38.114315
-1.409411,16,38.137264
2.148527,31,38.181508
13.816559,42,38.241157
4.960455,20,38.269447
-1.670898,37,38.321793
16.512363,25,38.357309
-0.528924,15,38.37854
21.306942,42,40.264506
0.221487,29,40.305426
3.00989,19,40.333649
4.852865,29,40.377114
0.241201,27,40.417471
12.026354,29,40.460721
16.891823,28,40.502439
33.246139,48,40.573919
12.735834,26,40.612545
10.580961,27,40.652534
1.167725,25,40.689433
6.294654,24,40.725017
-3.835914,26,40.763371
1.32762,12,40.781296
4.169302,34,40.83167
9.155376,24,40.86712
-0.151372,24,40.902804
-7.266418,53,40.980668
-0.191813,55,41.061704
7.002676,22,41.094316
2.389354,19,41.122761
3.251215,15,41.145062
8.122826,26,41.183491
27.501113,47,41.252703
0.53372,22,41.285131
3.681036,22,41.318037
16.701491,42,41.380477
-1.420984,22,41.41284
3.730494,31,41.458643
11.900401,31,41.504673
14.043061,37,41.559481
5.674938,27,41.599747
20.221756,44,41.664573
7.029625,41,41.725143
11.884715,55,41.806741
14.132695,26,41.845597
-1.379003,21,41.877164
2.98733,17,41.90269
25.874083,46,41.971539
-0.778447,31,42.017422
8.061933,33,42.066329
14.97056,38,42.122129
2.023089,24,42.15755
20.700719,34,42.205947
-0.737861,13,42.224371
-1.380268,9,42.237005
5.163849,32,42.282414
12.704151,45,42.346278
5.23611,24,42.380385
1.303168,27,42.418798
-3.570228,8,42.430131
0.058301,10,42.444545
8.107408,44,42.507314
10.105194,54,42.584095
5.44918,68,42.680884
8.296689,20,42.709389
1.171109,14,42.729081
8.615507,27,42.767325
1.340265,18,42.792956
9.292738,51,42.865539
0.402686,30,42.908266
-1.163714,27,42.946857
2.631888,46,43.012105
-0.723709,18,43.037775
-2.166959,54,43.114439
14.548647,30,43.156973
-0.652622,10,43.171314
12.644577,27,45.028545
6.075683,26,45.065274
8.545529,47,45.132809
16.621007,44,45.198251
32.267361,35,45.250136
3.941373,58,45.336427
-1.211224,23,45.370782
5.146267,31,45.416808
16.9073,23,45.450845
-3.297305,8,45.462732
4.886347,29,45.505522
10.168022,36,45.558292
0.957755,24,45.593867
5.300712,24,45.629379
15.531398,51,45.70469
19.439463,70,45.807844
23.399768,57,45.891674
1.104236,17,45.917075
22.600851,45,45.983747
2.985127,18,46.01046
11.36531,37,46.065487
3.533019,20,46.095034
0.358619,16,46.118511
5.183705,21,46.149746
-5.124998,69,46.251132
9.912845,29,46.294144
3.218273,26,46.332227
1.243188,21,46.363255
-0.802263,13,46.382248
-3.00411,11,46.398867
-0.10004,14,46.419541
8.701145,34,46.46967
11.380363,50,46.543557
1.123029,16,46.567326
14.037451,40,46.625808
15.19301,32,46.673056
10.426021,26,46.71137
9.683814,31,46.757212
8.701034,36,46.810517
4.356616,18,46.837078
-1.413589,9,46.850386
1.46489,11,46.86656
8.079525,38,46.922591
-0.835512,19,46.949734
4.095092,19,46.976885
10.539204,29,47.01815
12.719024,51,47.09069
2.847662,21,47.120813
0.359255,11,47.136512
13.216535,54,47.213302
12.866658,58,47.295754
12.588344,26,47.332667
9.5001,28,47.37266
12.447705,26,47.409678
4.239855,20,47.438061
4.461474,22,47.469677
3.117391,15,47.491082
3.696469,14,47.511112
14.462339,42,47.57112
1.206236,15,47.59274
11.266691,40,47.649731
26.020428,54,47.726926
-2.691855,20,47.755418
3.561086,15,47.777229
4.924699,27,47.81593
10.277823,30,47.858888
16.179457,29,47.90053
6.584064,47,47.967153
63.621339,109,49.980602
38.924825,77,50.094955
15.486953,38,50.151703
2.930206,18,50.178586
35.566856,42,50.240894
10.225138,39,50.298703
4.309493,37,50.353106
10.767386,27,50.392889
20.803184,64,50.487067
15.390191,44,50.551681
34.816035,77,50.665401
8.079288,18,50.691757
41.877338,60,50.780132
2.798665,15,50.802299
16.176582,32,50.849133
21.684871,35,50.900712
5.02949,87,51.028273
-1.420128,66,51.126088
20.978888,57,51.209778
25.838736,29,51.252637
6.500027,26,51.291167
5.132713,40,51.350038
16.532666,34,51.40014
-1.777283,10,51.414959
13.423011,50,51.488482
29.860058,43,51.552191
16.50962,35,51.604315
17.418183,35,51.655996
1.207055,11,51.672322
12.784056,33,51.721287
10.413499,40,51.779293
-0.161786,16,51.802314
5.001963,14,51.822306
24.170485,48,51.89062
26.870473,62,51.978935
2.664067,37,52.031842
18.637217,33,52.078996
6.002131,28,52.11997
15.388201,33,52.168092
4.767149,24,52.203385
5.633658,19,52.231292
8.75417,25,52.26811
8.26907,24,52.303661
8.932916,22,52.335432
20.030954,39,52.391165
4.200098,24,52.425484
-1.940472,28,52.465412
20.073235,52,52.539777
9.673743,26,52.577056
6.674418,24,52.611276
19.355106,35,52.661479
18.0532,46,52.727046
5.228446,47,52.794312
21.543595,38,54.674496
1.92116,18,54.700276
16.489627,31,54.74464
31.337547,42,54.80646
20.142746,73,54.915334
5.327404,20,54.945211
16.700739,36,54.99913
22.992592,43,55.063148
0.653397,11,55.079533
13.832372,28,55.120912
9.790163,24,55.156529
2.246806,15,55.178769
31.977978,72,55.284671
25.438566,41,55.344904
14.20477,35,55.396554
2.428949,50,55.4703
14.420377,26,55.508568
29.956606,52,55.58508
4.829133,33,55.633848
5.126879,23,55.668012
1.685993,27,55.707769
14.207642,40,55.766922
24.876056,70,55.870317
-0.353892,23,55.90454
14.206194,44,55.969606
43.07881,70,56.072465
0.645473,16,56.096297
32.726992,44,56.160728
19.336609,43,56.224321
7.873837,71,56.329708
10.458297,35,56.381079
38.277923,78,56.496419
6.230686,28,56.53789
17.984767,38,56.594032
12.848511,49,56.664361
5.318122,21,56.694525
7.920761,63,56.784516
40.436499,77,56.894181
129.642327,113,57.055739
18.416195,40,57.112894
26.165659,49,57.182821
-1.06026,81,57.29826
25.442132,37,57.351235
12.128483,24,57.385577
24.221716,53,57.461513
2.02761,14,57.48152
14.82222,37,57.534108
12.477874,29,57.575475
16.486388,43,57.637143
13.959236,40,59.517555
22.426472,46,59.583557
62.322237,73,59.692016
3.291241,34,59.742633
41.290616,65,59.839393
42.8669,93,59.977139
42.204475,70,60.079954
28.256531,47,60.149323
6.509347,26,60.187833
5.275988,23,60.222026
19.775699,36,60.275278
10.702923,30,60.319658
19.702552,39,60.377264
123.012489,87,60.505409
21.475355,34,60.555781
33.612474,71,60.659618
-1.695833,8,60.671691
3.297669,22,60.704174
16.050044,39,60.761335
1.260769,14,60.782022
23.324351,40,60.841026
20.875005,61,60.930436
44.137908,104,61.083945
12.948069,37,61.138665
27.613207,51,61.213908
8.598281,28,61.255192
23.958975,36,61.308483
112.723796,109,61.466954
1.137942,25,61.502709
42.666367,55,61.581273
9.717134,29,61.622753
2.382605,12,61.639767
3.704896,22,61.670932
3.534548,23,61.703726
13.347198,38,61.758169
11.91335,25,61.793622
15.605576,48,61.862095
19.494414,39,61.917655
31.536785,64,62.008642
19.975112,41,62.067017
18.166959,26,62.10417
28.635909,88,62.229907
14.65448,28,62.269747
47.055194,72,62.372561
1.648197,22,62.404114
3.790563,42,62.465677
-0.091528,64,64.38057
123.267392,122,64.560285
19.603601,50,64.634846
2.772703,14,64.655756
21.67395,36,64.708937
26.659183,59,64.79576
4.609421,17,64.82087
25.844512,54,64.89994
